coverage	n
1622	2
1623	6
1624	6
1625	0
1626	0
1627	3
1628	3
1629	1
1630	0
1631	6
1632	6
1633	7
1634	4
1635	3
1636	2
1637	2
1638	6
1639	4
1640	6
1641	2
1642	1
1643	2
1644	2
1645	0
1646	4
1647	1
1648	0
1649	0
1650	0
1651	1
1652	1
1653	4
1654	0
1655	1
1656	0
1657	2
1658	3
1659	1
1660	1
1661	3
1662	1
1663	0
1664	1
1665	0
1666	0
1667	1
1668	1
1669	1
1670	1
1671	0
1672	1
1673	1
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	1
1681	0
1682	0
1683	0
1684	0
1685	1
1686	0
1687	2
1688	1
1689	0
1690	0
1691	1
1692	0
1693	0
1694	1
1695	2
1696	2
1697	3
1698	1
1699	4
1700	4
1701	4
1702	0
1703	0
1704	0
1705	0
1706	0
1707	1
1708	1
1709	0
1710	0
1711	0
1712	0
1713	0
1714	0
1715	0
1716	0
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	1
1730	1
1731	0
1732	0
1733	0
1734	0
1735	0
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	0
1745	0
1746	0
1747	1
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	1
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	0
1780	0
1781	0
1782	0
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	1
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	0
1814	0
1815	0
1816	0
1817	0
1818	1
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	0
1828	0
1829	0
1830	0
1831	0
1832	0
1833	0
1834	0
1835	0
1836	0
1837	0
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	2
1845	3
1846	1
1847	1
1848	2
1849	3
1850	0
1851	0
1852	0
1853	3
1854	3
1855	3
1856	3
1857	0
1858	3
1859	9
1860	1
1861	2
1862	0
1863	1
1864	0
1865	0
1866	1
1867	0
1868	0
1869	0
1870	0
1871	0
1872	0
1873	0
1874	0
1875	0
1876	1
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	3
1891	0
1892	0
1893	0
1894	0
1895	2
1896	4
1897	0
1898	0
1899	0
1900	1
1901	6
1902	0
1903	1
1904	4
1905	0
1906	3
1907	2
1908	0
1909	1
1910	2
1911	4
1912	3
1913	5
1914	7
1915	14
1916	9
1917	1
1918	3
1919	0
1920	6
1921	9
1922	6
1923	5
1924	9
1925	12
1926	7
1927	2
1928	6
1929	8
1930	3
1931	3
1932	4
1933	10
1934	9
1935	1
1936	2
1937	2
1938	10
1939	2
1940	8
1941	3
1942	1
1943	1
1944	0
1945	0
1946	0
1947	2
1948	4
1949	3
1950	4
1951	0
1952	5
1953	12
1954	15
1955	27
1956	5
1957	4
1958	2
1959	3
1960	4
1961	6
1962	12
1963	3
1964	0
1965	5
1966	8
1967	11
1968	0
1969	1
1970	2
1971	12
1972	9
1973	2
1974	0
1975	0
1976	1
1977	3
1978	1
1979	1
1980	1
1981	0
1982	3
1983	0
1984	0
1985	2
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	3
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	0
2003	0
2004	0
2005	0
2006	0
2007	2
2008	0
2009	0
2010	0
2011	0
2012	2
2013	1
2014	3
2015	2
2016	2
2017	0
2018	3
2019	0
2020	6
2021	14
2022	17
2023	1
2024	2
2025	4
2026	1
2027	1
2028	0
2029	4
2030	10
2031	3
2032	3
2033	5
2034	0
2035	5
2036	1
2037	4
2038	2
2039	4
2040	1
2041	8
2042	4
2043	5
2044	10
2045	0
2046	0
2047	3
2048	4
2049	6
2050	1
2051	0
2052	1
2053	2
2054	0
2055	1
2056	3
2057	5
2058	0
2059	0
2060	4
2061	1
2062	1
2063	0
2064	3
2065	0
2066	2
2067	4
2068	0
2069	1
2070	2
2071	0
2072	0
2073	0
2074	0
2075	0
2076	0
2077	0
2078	0
2079	3
2080	0
2081	1
2082	0
2083	0
2084	0
2085	0
2086	1
2087	2
2088	0
2089	2
2090	7
2091	1
2092	2
2093	0
2094	1
2095	3
2096	5
2097	11
2098	7
2099	4
2100	6
2101	0
2102	2
2103	3
2104	6
2105	9
2106	3
2107	4
2108	1
2109	0
2110	1
2111	0
2112	1
2113	0
2114	0
2115	2
2116	0
2117	1
2118	3
2119	0
2120	0
2121	1
2122	0
2123	0
2124	1
2125	0
2126	0
2127	1
2128	0
2129	0
2130	0
2131	0
2132	0
2133	0
2134	1
2135	0
2136	0
2137	0
2138	0
2139	0
2140	0
2141	0
2142	1
2143	0
