coverage	n
1077	5
1078	5
1079	0
1080	0
1081	3
1082	2
1083	1
1084	1
1085	1
1086	9
1087	3
1088	2
1089	2
1090	2
1091	0
1092	3
1093	1
1094	0
1095	1
1096	3
1097	4
1098	1
1099	3
1100	0
1101	1
1102	2
1103	10
1104	7
1105	2
1106	5
1107	6
1108	10
1109	15
1110	0
1111	1
1112	4
1113	6
1114	6
1115	11
1116	14
1117	10
1118	1
1119	5
1120	15
1121	7
1122	4
1123	11
1124	6
1125	4
1126	13
1127	0
1128	12
1129	9
1130	2
1131	0
1132	3
1133	3
1134	3
1135	1
1136	0
1137	1
1138	1
1139	1
1140	0
1141	1
1142	0
1143	0
1144	0
1145	2
1146	0
1147	0
1148	1
1149	1
1150	3
1151	7
1152	0
1153	1
1154	0
1155	0
1156	0
1157	4
1158	0
1159	1
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	4
1176	0
1177	8
1178	5
1179	16
1180	4
1181	3
1182	10
1183	8
1184	3
1185	7
1186	0
1187	3
1188	4
1189	1
1190	5
1191	4
1192	7
1193	8
1194	7
1195	22
1196	18
1197	23
1198	10
1199	11
1200	10
1201	15
1202	11
1203	15
1204	4
1205	5
1206	2
1207	1
1208	1
1209	0
1210	1
1211	0
1212	3
1213	1
1214	2
1215	6
1216	7
1217	16
1218	16
1219	19
1220	11
1221	18
1222	6
1223	5
1224	16
1225	8
1226	9
1227	7
1228	9
1229	10
1230	9
1231	6
1232	9
1233	6
1234	9
1235	6
1236	3
1237	1
1238	1
1239	5
1240	1
1241	1
1242	5
1243	5
1244	10
1245	11
1246	13
1247	15
1248	11
1249	25
1250	9
1251	5
1252	5
1253	4
1254	3
1255	7
1256	6
1257	1
1258	6
1259	1
1260	5
1261	3
1262	0
1263	1
1264	1
1265	1
1266	3
1267	0
1268	4
1269	1
1270	3
1271	4
1272	3
1273	2
1274	4
1275	2
1276	2
1277	3
1278	3
1279	2
1280	0
1281	0
1282	1
1283	5
1284	4
1285	2
1286	4
1287	1
1288	0
1289	0
1290	4
1291	4
1292	2
1293	3
1294	0
1295	2
1296	1
1297	1
1298	0
1299	1
1300	0
1301	2
1302	0
1303	1
1304	0
1305	1
1306	0
1307	3
1308	3
1309	17
1310	16
1311	6
1312	7
1313	0
1314	2
1315	0
1316	1
1317	2
1318	0
1319	1
1320	1
1321	0
1322	1
1323	2
1324	1
1325	1
1326	1
1327	1
1328	1
1329	1
1330	0
1331	0
1332	1
1333	0
1334	2
1335	1
1336	0
1337	1
1338	1
1339	2
1340	0
1341	0
1342	0
1343	0
1344	0
1345	1
1346	1
1347	0
1348	1
1349	1
1350	1
1351	1
1352	1
1353	1
1354	1
1355	1
1356	0
1357	0
1358	0
1359	2
1360	0
1361	1
1362	0
1363	2
1364	2
1365	2
1366	3
1367	2
1368	0
1369	1
1370	0
1371	0
1372	1
1373	0
1374	1
1375	2
1376	2
1377	0
1378	4
1379	0
1380	8
1381	1
1382	0
1383	1
1384	0
1385	0
1386	0
1387	0
1388	0
1389	0
1390	1
1391	0
1392	0
1393	0
1394	1
1395	0
1396	0
1397	2
1398	1
1399	1
1400	1
1401	1
1402	1
1403	0
1404	0
1405	0
1406	0
1407	0
1408	1
1409	3
1410	0
1411	3
1412	2
1413	0
1414	1
1415	0
1416	2
1417	2
1418	1
1419	0
1420	1
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	3
1429	2
1430	1
1431	2
1432	3
1433	2
1434	9
1435	5
1436	5
1437	13
1438	15
1439	9
1440	0
1441	1
1442	0
1443	2
1444	0
1445	1
1446	0
1447	1
1448	2
1449	1
1450	3
1451	3
1452	5
1453	12
1454	5
1455	2
1456	14
1457	2
1458	4
1459	5
1460	5
1461	2
1462	3
1463	6
1464	5
1465	9
1466	3
1467	9
1468	0
1469	7
1470	2
1471	10
1472	8
1473	11
1474	9
1475	17
1476	6
1477	22
1478	27
1479	10
1480	10
1481	3
1482	1
1483	6
1484	0
1485	1
1486	2
1487	7
1488	4
1489	2
1490	0
1491	0
1492	3
1493	2
1494	0
1495	1
1496	0
1497	1
1498	1
1499	2
1500	0
1501	0
1502	0
1503	1
1504	2
1505	1
1506	0
1507	0
1508	3
1509	3
1510	1
1511	3
1512	4
1513	0
1514	1
1515	1
1516	0
1517	1
1518	2
1519	0
1520	0
1521	0
1522	5
1523	0
1524	9
1525	3
1526	4
1527	1
1528	2
1529	10
1530	3
1531	1
1532	3
1533	3
1534	6
1535	3
1536	2
1537	7
1538	30
1539	8
1540	6
1541	7
1542	8
1543	7
1544	4
1545	6
1546	9
1547	7
1548	7
1549	2
1550	2
1551	0
1552	0
1553	1
1554	0
1555	1
1556	1
1557	1
1558	0
1559	0
1560	0
1561	0
1562	0
1563	0
1564	2
1565	0
1566	1
1567	4
1568	1
1569	0
1570	0
1571	0
1572	0
1573	2
1574	3
1575	0
1576	1
1577	7
1578	2
1579	3
1580	3
1581	8
1582	19
1583	9
1584	6
1585	6
1586	5
1587	4
1588	3
1589	2
1590	5
1591	2
1592	4
1593	4
1594	4
1595	4
1596	6
1597	2
1598	4
1599	1
1600	5
1601	2
1602	1
1603	1
1604	0
1605	8
1606	3
1607	7
1608	12
1609	19
1610	9
1611	6
1612	9
1613	0
1614	1
1615	2
1616	2
1617	1
1618	1
1619	0
1620	1
1621	2
1622	4
1623	7
1624	4
1625	7
1626	7
1627	7
1628	2
1629	5
1630	5
1631	7
1632	0
1633	6
1634	3
1635	0
1636	3
1637	0
1638	3
1639	8
1640	6
1641	3
1642	3
1643	4
1644	9
1645	8
1646	7
1647	5
1648	4
1649	7
1650	1
1651	1
1652	3
1653	2
1654	7
1655	2
1656	4
1657	3
1658	1
1659	1
1660	6
1661	1
1662	1
1663	3
1664	7
1665	0
1666	1
1667	1
1668	4
1669	2
1670	1
1671	2
1672	4
1673	7
1674	1
1675	2
1676	7
1677	7
1678	1
1679	1
1680	0
1681	1
1682	0
1683	1
1684	0
1685	0
1686	1
1687	0
1688	1
1689	0
1690	2
1691	2
1692	2
1693	0
1694	2
1695	0
1696	1
1697	1
1698	1
1699	0
1700	2
1701	1
1702	1
1703	0
1704	0
1705	1
1706	2
1707	0
1708	0
1709	0
1710	0
1711	1
1712	0
1713	0
1714	5
1715	2
1716	5
1717	5
1718	9
1719	0
1720	4
1721	1
1722	4
1723	1
