sample	amp1	amp2	amp3	amp4	amp5	amp6	amp7	amp8	amp9	amp10	amp11	amp12	amp13	amp14	amp15	amp16	amp17	amp18	amp19	amp20	amp21	amp22	amp23	amp24	amp25	amp26	amp27	amp28	amp29	amp30	amp31	amp32	amp33	amp34	amp35	amp36	amp37	amp38	amp39	amp40	amp41	amp42	amp43	amp44	amp45	amp46	amp47	amp48	amp49	amp50	amp51	amp52	amp53	amp54	amp55	amp56	amp57	amp58	amp59	amp60	amp61	amp62	amp63	amp64	amp65	amp66	amp67	amp68	amp69	amp70	amp71	amp72	amp73	amp74	amp75	amp76	amp77	amp78	amp79	amp80	amp81	amp82	amp83	amp84	amp85	amp86	amp87	amp88	amp89	amp90	amp91	amp92	amp93	amp94	amp95	amp96	amp97	amp98
SC2187	2532.4172363	8213.9091797	14180	15758.0976562	11699.4072266	3436.3317871	1706.1567383	4371.1572266	531.4230957	11194.7294922	10164.1396484	3588.4458008	924.2617798	28046.0625	1459.166626	7716.9960938	9918.3613281	7085.6240234	2509.3452148	13858.4902344	4541.2475586	20640.3085938	4367.6606445	684.6436157	16167.53125	1212.3172607	12969.9003906	838.7244263	679.7489014	22254.6054688	42.4320374	625.3165894	9758.3710938	25425.6074219	6762.8500977	67.5	17390.5214844	3825.2919922	14820.0117188	17416.5273438	10027.4345703	4687.9589844	6291.9755859	14350.3173828	1114.3165283	17317.4570312	23727.7890625	1740.2032471	11265.8222656	9669.1142578	8648.4726562	14470.7001953	28558.8105469	1168.1207275	15929.2900391	5957.6293945	16220.1181641	13202.7382812	517.1853638	16160.5966797	13351.6367188	24958.0039062	10055.1113281	1797.7768555	6204.75	811.2703857	13231.0322266	10221.0234375	4801.9458008	17931.8515625	4498.4829102	12375.9863281	6373.7680664	3203.1235352	29803.421875	34.7808228	16145.7470703	8785.8984375	14836.0957031	3577.7836914	4013.126709	20095.0585938	5373.6699219	16459.0292969	933.2052612	3386.7685547	26405.4785156	12939.2939453	2655.1799316	16209.21875	601.7888184	11261.2685547	28327.1582031	5314.4179688	17472.4179688	3138.2355957	16642.6484375	2781.5874023
SC2188	5540.1879883	14335.1982422	25350.8339844	33626.4375	13577.0087891	4360.2763672	1516.4608154	6305.6977539	529.6453247	18624.3710938	14838.3320312	4993.1499023	986.8586426	40048.0625	1345.0053711	9586.3701172	10596.0283203	7263.2768555	3408.215332	20003.5566406	4973.2680664	28078.7558594	3788.5803223	906.2286987	20391.8105469	3060.5622559	16411	1037.4842529	555.9515381	33180.9179688	213.029129	381.0452271	12424.5087891	29860.4667969	12375.0527344	45.4025421	25089.0078125	3797.1987305	25538.7167969	25633.0800781	12253.0625	6625.809082	8020.1430664	23480.8242188	1144.854248	27017.2324219	26433.4433594	2224.7966309	19211.7695312	9881.7919922	11677.5703125	21457.1992188	41416.1171875	1210.2608643	20007.4824219	5627.0517578	18552.2890625	17536.9648438	442.5463562	20586.0371094	19450.5644531	38313.09375	17336.2890625	2183.7888184	7814.7675781	854.463501	15279.28125	17752.1640625	9880.4111328	19876.3183594	7810.7587891	22980.4589844	9137.3837891	5491.9824219	48446.0390625	250.1917877	27500.9082031	17374.0234375	19299.3417969	8957.7519531	5825	37797.21875	10921.1035156	32063.8105469	1485.5415039	6207	42678.6796875	25725.2773438	6397.6665039	30760.5527344	1690.5737305	24137.8144531	54529.9414062	10700.8173828	43875.0234375	2170.6621094	34156.3046875	1514.3636475
SC2189	2908.6315918	32372.9785156	18537.7148438	6590.4765625	7171.2797852	3947.267334	33716.8515625	5331.527832	20772.6757812	17901.1757812	5914.9760742	19779.5800781	2008.7067871	30699.5	13728.9082031	3135.7285156	10328.4980469	31517.9785156	9475.3496094	5256.8046875	31838.8457031	10242.6308594	6603.3828125	16647.7988281	17330.1230469	3114.755127	14260.6650391	4724.8544922	9518.4804688	11755.5878906	1294.1068115	3502.9799805	5464.9907227	6906.6230469	3651.6520996	4065.2924805	2403.4396973	5093.6831055	6019.0351562	2695.4472656	5501.1552734	13696.9775391	4786.6455078	35962.8242188	29178.7988281	14142.3925781	19712.1308594	1425.6585693	12446.5908203	23642.5429688	10083.4169922	7143.6816406	18563.3457031	7738.3286133	3516.5505371	8741.8837891	3813.7075195	4985.2749023	4324.5268555	3101.5654297	4379.7539062	20217.7714844	7900.5512695	6561.5576172	2834.9868164	3560.7939453	1917.387085	2490.8178711	2892.6811523	7711.6381836	4899.2856445	23121.9042969	6994.9643555	11384.3173828	8177.8842773	1213.2602539	16284.7333984	1859.6066895	13869.5927734	8270.4589844	1605.3319092	10779.5869141	2449.3103027	7013.5087891	3835.1311035	2518.1181641	6453.3608398	1879.3305664	11539.9560547	1170.0411377	373.8087769	1682.1409912	2582.8422852	1148.1174316	674.3980713	526.3422241	3070.2128906	949.0279541
SC2190	972.90979	8741.4697266	14205.359375	8271.0136719	15255.7080078	7065.2119141	1656.9953613	8361.5449219	1439.9957275	17537.9667969	16223.6601562	8494.1669922	3384.0314941	24658.9160156	4314.5751953	2750.4731445	5941.3476562	9476.0244141	2939.5380859	12970.7617188	5809.190918	21415.0410156	6191.7841797	33.3723412	5470.8720703	7902.0600586	20859.0605469	1965.220459	1157.0925293	18824.8828125	1.4854369	50.7437172	14298.765625	23973.4707031	10663.1308594	109.25	9473.5390625	715.9130249	14913.8828125	17737.7089844	10008.7763672	12188.3046875	12450.6552734	13805.1660156	1761.618042	6553.5800781	26247.9648438	800.3821411	12896.0947266	10019.8652344	17418.7753906	9571.1347656	17323.5644531	2571.5942383	17869.34375	8545.375	9150.7294922	7444.1484375	1329.9268799	22443.0371094	16953.4160156	16297.8261719	18996.4257812	6131.8686523	7921.8730469	1179.2016602	3888.2351074	6956.9765625	8888.1455078	16270.3242188	1914.088623	20373.7070312	1148.8526611	8541.046875	43546.8789062	70.1278534	7873.9736328	6140.9926758	9581.1083984	9311.9462891	5552.253418	26520.0429688	12465.6650391	16409.7285156	2313.9912109	7012.546875	17642.3847656	14516.9794922	2806.6623535	14661.9453125	1103	13969.3701172	29537.7167969	7369.1831055	14783.2431641	3685.9689941	19787.2675781	1039.4195557
SC2191	3311.7368164	11334.7539062	7080.387207	34906.0976562	10568.9658203	1883.1843262	624.9216309	2677.2043457	311.2136841	9694.5751953	15061.8476562	775.9249878	308.9162292	29312.6855469	184.3924713	3978.1276855	3095.2441406	1985.1942139	901.4394531	14081.3525391	1330.2886963	32055.4765625	6289.1420898	44.7074471	13685.4316406	6923.9560547	3808.526123	262.2716675	64.3127747	17892.7910156	2	1140.2110596	11798.5507812	23960.4023438	10614.1591797	35.1313553	21425.9785156	1067.1242676	31071.0996094	15618.8134766	3971.8757324	19009.9082031	3420.1577148	12677.2324219	254.311554	28813.890625	20497.3222656	2575.3251953	14866.0683594	4165.2817383	5668.6938477	17368.0742188	15337.1855469	254.2657013	11628.7060547	1149.9611816	7004.4277344	6590.7207031	142.5707245	19456.859375	19022.8066406	38510.9375	7964.8442383	1155.4422607	3399.8947754	575.5965576	5791.612793	4630.7709961	17309.453125	9235.3408203	2666.4631348	7236.793457	1433.5535889	1169.3059082	52784.5039062	101.6575317	13878.7685547	11222.3554688	2945.7229004	2920.045166	1490.3100586	41912.9648438	4372.9555664	48394.8476562	145.5589447	535.9802856	46054.8671875	24830.8398438	1036.4605713	19360.4023438	242.1593628	22594.0800781	48554.6679688	4872.3754883	7751.543457	1252.7866211	8236.3056641	868.7622681
SC2192	2392.0339355	30272.453125	20987.3359375	5297.8691406	7243.0634766	3176.6542969	23675.3964844	5014.4042969	15997.1328125	15343.4042969	9305.8242188	15960.5253906	3111.5288086	26440.9453125	10718.34375	3010.3703613	11290.5019531	25092.7402344	10254.6318359	5309.9238281	31362.3867188	9560.8984375	7528.6235352	14853.0849609	17990.9960938	3378.5380859	16725.1914062	4359.0195312	9333.8193359	11577.03125	1717.6748047	2700.2109375	10560.7480469	5571.309082	5752.1591797	3112.2712402	4950.1855469	4037.9130859	8369.3173828	2450.6210938	8357.9755859	12508.1455078	6838.8916016	27601.3691406	24933.4472656	13676.4296875	23497.4804688	1573.5446777	15350.9541016	16927.9707031	12854.3359375	6200.1987305	26591.5859375	6461.1206055	6413.9746094	8027.2714844	6975.0263672	4239.5043945	6104.7607422	2702.6491699	8950.8144531	17120.4550781	11697	5316.8525391	4917.2851562	3191.6223145	4038.3779297	2132.7336426	5141.3242188	7004.4628906	7288.4384766	18692.7148438	10444.1474609	8966.8945312	12395.1767578	883.0502319	19736.6640625	1874.1798096	18760.3417969	6840.9819336	3112.9912109	9628.3652344	4282.6303711	6664.8188477	6384.144043	3562.029541	9725.7070312	2393.2692871	11623.0615234	1338.9086914	522.1075439	1738.9471436	4933.734375	1312.5821533	1247.8641357	359.2489014	3499.8425293	936.6713257
SC2193	2288.8459473	21990.3144531	19342.40625	4533.4487305	7560.8178711	3558	16404.3554688	6686.9658203	9264.2607422	11932.6289062	8409.9121094	13646.3291016	2811.314209	26258.0761719	9092.0703125	2234.4526367	10222.3896484	20364.1230469	8468.9414062	4591.5810547	24697.0878906	7857.6845703	7648.8208008	12254.3671875	14317.7578125	2405.9880371	16395.0996094	4305.7163086	9276.2119141	11484.6601562	1396.2281494	2133.7839355	10246.0917969	5165.4243164	5676.4492188	2354.4619141	5414.3061523	4434.3105469	6067.8237305	2487.0559082	9211.1923828	11916.7958984	8955.0439453	30909.0566406	17694.5625	17189.7851562	23454.1757812	1586.7845459	14120.3935547	14285.7958984	11564.8300781	6864.5058594	27533.6601562	6400.265625	7894.7817383	7987.034668	10080.2529297	15252.2431641	5339.6489258	8746.8427734	9631.6738281	11540.2099609	11095.7822266	3516.5258789	5339.2456055	2701.6394043	5138.4609375	3035.0373535	5231.956543	7773.590332	6695.1479492	15613.0185547	11508.5175781	6237.4414062	13760.6396484	576.4291992	18958.3007812	1842.737793	21192.1855469	4977.1845703	4399.3623047	8286.8251953	5465.6010742	7117.2114258	9094.5722656	3682.4580078	11658.3417969	1942.5795898	11974.6445312	1787.2237549	920.932251	3238.1101074	8642.5175781	1337.3380127	3173.0922852	699.5200195	4016.333252	607.6783447
SC2194	2578.796875	18401.4609375	16954.484375	2527.5561523	6372.9575195	1825.4377441	30814.9765625	2486.8339844	21672.0507812	11427.3291016	6555.1079102	11211.5458984	2394.2304688	16593.4765625	13376.0273438	2473.7736816	10478.7089844	23917.015625	10006.3320312	3265.7475586	33382.6992188	6890.5180664	5957.8642578	12838.6699219	16294.8818359	2155.1687012	14587.6699219	2634.7282715	10043.0400391	7550.9047852	1653.7087402	2265.2612305	5450.0273438	4429.2773438	4095.623291	2372.6738281	3051.7285156	2779.4658203	5792.0527344	1941.4161377	5464.0932617	7509.1044922	5226.4433594	20940.0195312	29808.3925781	8674.8222656	19617.4492188	1202.3740234	11916.2802734	17622.4941406	10821.9833984	4093.5881348	22189.1425781	5068.5507812	4775.2817383	6469.6982422	5612.8037109	3645.0270996	4766.7172852	2514.1569824	5274.5927734	14732.5136719	9478.2626953	4355.2348633	4001.3596191	2385.6394043	2932.0046387	1471.9439697	4176.140625	5799.1806641	5220.0688477	18392.8203125	8294.2861328	8493.1113281	9881.3603516	1045.1096191	19308.4375	1721.9700928	14640.1777344	5849.1484375	1968.6201172	6928.2011719	3276.7290039	4842.8535156	5228.3012695	976.4630737	6087.5756836	1206.5469971	11202.9824219	932.6895142	432.1593628	952.1849976	4508.1845703	726.046936	974.6116333	579.5333252	3314.3425293	1294.49646
SC2195	2125.3759766	19746.828125	28184.0878906	8157.9160156	8229.7460938	6039.4238281	12116.4101562	7309.7700195	6340.7993164	15590.6621094	10328.1796875	15057.5878906	3325.7539062	30559.3007812	7208.230957	3792.888916	12964.7373047	19945.1074219	8039.3320312	6114.3378906	20909.3769531	9173.1015625	8220.0742188	11084.5371094	14893.9101562	3429.2770996	16244.2431641	6097.9135742	7962.6210938	17083.5878906	1507.5874023	2270.5024414	13539.1835938	14258.2724609	9022.7246094	1817.9490967	11810.4140625	6041.4287109	11157.4824219	7211.1738281	13714.7890625	17655.9726562	10557.7138672	38583.171875	14655.5380859	33303.9960938	26090.1875	4125.8701172	16342.2958984	17972.4277344	14211.3193359	12765.1757812	31459.3320312	10823.5019531	11358.1298828	10379.0771484	14007.6025391	23257.8476562	4436.3706055	15140.9111328	11888.5	17170.4472656	14188.5419922	4247.9282227	7572.2412109	3857.1071777	7698.2119141	8022.5327148	6960.3349609	14597.9199219	7694.6254883	15226.8261719	13322.1337891	5178.1352539	16992.1152344	503.7442932	21797.6152344	4839.0825195	20328.7871094	6723.9819336	6769.703125	12168.8144531	8329.4580078	12383.7324219	7814.6547852	5050.1083984	16840.3066406	4632.8818359	12153.8642578	2268.1506348	3497.541748	2051.6210938	17464.46875	2483.3662109	5929.6357422	583.4222412	5561.1386719	1334.8182373
SC2196	1963.2518311	20930.0214844	25781.7382812	9849.3740234	7882.1694336	6169.0507812	8191.5253906	6339.4384766	3600.3803711	13632.6748047	9233.2441406	12415.7333984	2694.1779785	23976.5390625	5012.4301758	2712.5883789	12111.2070312	6411.565918	6191.1523438	5214.4570312	15302.1289062	9824.9111328	8184.4257812	8317.8994141	14216.9335938	3328.1364746	15619.3388672	4478.6850586	5750.1279297	16001.4521484	823.8446655	1674.4472656	12558.3896484	16125.7744141	9367.7773438	962.8220215	13340.6943359	5552.1367188	11102.3945312	8393.421875	12522.7080078	15180.7958984	9258.5126953	36606.4414062	9829.9345703	32223.3691406	24438.1523438	3163.215332	16090.7685547	15713.359375	12240.6640625	13149.0263672	30331.0292969	7798.2270508	11128.1425781	8779.3144531	16599.4707031	21812.6308594	2948.1220703	14836.7539062	12294.9716797	15253.1425781	12899.6484375	3886.0039062	6388.1142578	2607.1586914	7713.3271484	8490.359375	5992.1245117	14642.5585938	7825.5517578	13576.0830078	11010.9423828	4154.2001953	15819.3056641	309.9543457	20759.7988281	5613.1049805	18790.5410156	5926.6801758	5908.8779297	11222.1533203	7538.2905273	11925.9658203	5277.4760742	5601.0541992	19343.5078125	6673.5063477	7623.5527344	8608.5751953	2807.9243164	8939.1230469	19131.5683594	3853.0891113	12481.9365234	1636.6444092	10014.0185547	1182.2167969
